,Combined_ID,Year,How.satisfied.are.you.with.your.life.in.general,How.satisfied.are.you.with.Somerville.as.a.place.to.live,How.satisfied.are.you.with.your.neighborhood,How.proud.are.you.to.be.a.Somerville.resident,How.would.you.rate.the.following..The.availability.of.information.about.city.services,How.would.you.rate.the.following..The.cost.of.housing,How.would.you.rate.the.following..The.overall.quality.of.public.schools,How.would.you.rate.the.following..Your.trust.in.the.local.police,How.would.you.rate.the.following..The.maintenance.of.streets.and.sidewalks,How.would.you.rate.the.following..The.availability.of.social.community.events,How.safe.do.you.feel.walking.in.your.neighborhood.at.night,How.satisfied.are.you.with.the.beauty.or.physical.setting.of.your.neighborhood,How.satisfied.are.you.with.the.appearance.of.parks.and.squares.in.your.neighborhood,What.is.your.gender,Age,What.is.your.race.or.ethnicity,Do.you.have.children.age.18.or.younger.who.live.with.you,Describe.your.housing.status.in.Somerville,Do.you.plan.to.move.away.from.Somerville.in.the.next.two.years,How.long.have.you.lived.here,What.is.your.annual.household.income,Are.you.a.student,How.anxious.did.you.feel.yesterday,How.satisfied.are.you.with.the.quality.and.number.of.transportation.options.available.to.you,Language,What.languages.do.you.speak.at.home,Class
6938,6939.0,2017,5.0,8.0,9.0,8.0,4.0,2.0,3.503584229390681,3.0,3.0,4.0,8.0,7.0,6.0,4,15,6,1,2,0,0,5,0,5,8.0,1,16,0
6965,6966.0,2017,9.0,9.0,9.0,7.0,4.0,2.0,3.0,4.0,3.0,4.0,9.0,8.0,7.0,4,5,30,1,1,0,49,1,0,8,8.0,1,27,0
6710,6711.0,2017,9.0,9.0,9.0,9.0,4.0,3.0,4.0,4.0,4.0,5.0,8.0,6.0,7.0,0,15,30,1,1,0,49,8,0,8,9.0,1,27,0
7003,7004.0,2017,6.0,6.0,6.0,5.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,7.0,5.0,1,0,30,0,2,1,0,7,1,2,7.0,1,4,0
6888,6889.0,2017,8.0,10.0,10.0,10.0,3.0,2.0,3.503584229390681,3.889212827988338,4.0,5.0,8.0,9.0,10.0,1,15,30,0,2,0,0,2,0,2,10.0,1,4,0
5645,5646.0,2011,3.0,8.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
4080,4081.0,2011,4.0,9.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
6713,6714.0,2017,7.0,9.0,8.0,9.0,3.0,3.0,3.0,4.0,3.0,3.0,9.0,8.0,7.0,4,5,30,0,2,0,8,2,0,9,7.0,1,4,0
2089,2090.0,2011,4.0,5.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7381,7382.0,2017,6.0,8.0,8.0,8.0,4.0,3.0,3.503584229390681,3.0,3.0,3.0,8.0,8.0,8.0,4,5,30,0,2,1,32,1,0,8,8.0,1,13,0
3313,3314.0,2011,2.0,6.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
6711,6712.0,2017,7.0,9.0,9.0,7.0,5.0,3.0,3.0,4.0,4.0,4.0,9.0,8.0,9.0,1,40,30,0,1,0,7,1,0,7,9.0,1,4,0
6683,6684.0,2017,4.0,8.0,6.0,10.0,4.0,1.0,4.0,5.0,1.0,5.0,7.0,5.0,7.0,1,30,30,0,1,0,16,1,0,4,9.0,1,4,1
5024,5025.0,2011,2.0,9.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
6808,6809.0,2017,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,1,40,30,0,1,0,16,2,0,1,10.0,1,44,0
2418,2419.0,2011,9.0,7.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7036,7037.0,2017,8.0,9.0,8.0,9.0,4.0,2.0,3.0,3.0,2.0,5.0,7.0,7.474820143884892,4.0,9,30,30,0,1,0,16,0,0,4,4.0,1,4,0
6926,6927.0,2017,9.0,9.0,9.0,10.0,5.0,1.0,3.0,2.0,4.0,5.0,9.0,7.0,8.0,1,24,30,0,1,0,7,2,0,4,7.0,1,4,0
6895,6896.0,2017,7.0,7.0,9.0,9.0,5.0,3.0,2.0,4.0,2.0,4.0,6.0,7.0,7.0,1,15,30,1,1,0,7,2,0,4,9.0,1,4,0
5825,5826.0,2011,3.0,9.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
2095,2096.0,2011,4.0,5.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7270,7271.0,2017,10.0,10.0,10.0,10.0,5.0,4.0,4.0,4.0,4.0,5.0,10.0,9.0,9.0,4,30,30,0,1,0,7,2,0,9,10.0,1,4,0
7715,7716.0,2019,4.317280453257791,1.0,1.0,5.6923076923076925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,51,30,0,1,1,47,1,0,4,5.631578947368421,1,4,1
1848,1849.0,2011,1.0,1.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
8566,8567.0,2019,4.0,6.0,8.0,5.6923076923076925,5.0,2.0,5.0,4.0,4.0,5.0,10.0,9.0,10.0,1,18,30,0,2,0,6,1,0,4,5.631578947368421,1,4,1
7156,7157.0,2017,8.0,10.0,10.0,10.0,5.0,4.0,5.0,5.0,4.0,5.0,6.0,9.0,9.0,1,40,30,0,1,0,16,7,0,1,9.0,1,4,0
2589,2590.0,2011,8.0,8.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
6549,6550.0,2017,8.0,8.0,8.0,6.0,5.0,2.0,4.0,3.0,3.0,5.0,8.0,8.0,9.0,1,15,30,0,2,0,8,2,1,8,9.0,1,4,0
7346,7347.0,2017,9.0,8.0,6.0,10.0,5.0,5.0,5.0,5.0,3.0,5.0,10.0,7.0,8.0,1,30,30,0,1,0,49,2,0,1,4.0,1,4,0
7111,7112.0,2017,9.0,9.0,7.0,10.0,3.0,3.0,3.0,5.0,4.0,4.0,7.0,7.0,9.0,1,40,30,0,1,0,16,8,0,7,9.0,1,4,0
6922,6923.0,2017,8.0,8.0,6.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,8.0,4,30,30,0,1,0,11,5,0,7,5.0,1,4,0
6551,6552.0,2017,10.0,10.0,7.0,8.0,3.0,2.0,3.0,4.0,5.0,5.0,8.0,8.0,6.0,1,5,30,0,2,0,32,1,0,8,8.0,1,4,0
2199,2200.0,2011,5.0,7.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7350,7351.0,2017,6.0,7.0,9.0,7.0,4.0,1.0,3.0,5.0,4.0,4.0,9.0,8.0,9.0,4,5,30,0,2,0,8,8,0,1,9.0,1,4,0
6587,6588.0,2017,8.0,10.0,9.0,10.0,5.0,1.0,4.0,5.0,4.0,5.0,7.0,8.0,8.0,1,24,6,0,2,0,16,0,0,5,10.0,1,4,0
6829,6830.0,2017,5.0,10.0,10.0,10.0,2.0,2.0,3.503584229390681,4.0,2.0,3.0,7.0,5.0,7.0,1,24,30,0,2,0,32,2,1,5,7.0,1,4,0
6708,6709.0,2017,7.0,7.0,7.0,7.0,5.0,3.0,3.0,4.0,4.0,5.0,7.0,8.0,8.0,1,15,30,1,1,1,7,2,0,8,7.0,1,4,0
5130,5131.0,2011,3.0,10.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
170,171.0,2011,3.0,8.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
3164,3165.0,2011,5.0,5.7260677466863035,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
3733,3734.0,2011,10.0,10.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7343,7344.0,2017,2.0,4.0,3.0,10.0,1.0,1.0,2.9245283018867925,3.2967032967032965,2.0,3.0,5.0,2.0,4.0,0,5,6,0,2,1,8,1,0,9,3.0,1,4,1
3040,3041.0,2011,7.0,2.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
20,21.0,2011,2.0,8.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7132,7133.0,2017,4.0,7.0,7.0,6.0,5.0,1.0,2.9245283018867925,2.0,4.0,3.482051282051282,9.0,8.0,9.0,1,15,30,0,1,0,32,1,0,2,8.0,1,4,1
6997,6998.0,2017,8.0,6.0,6.0,6.0,3.0,1.0,3.0,4.0,2.0,5.0,9.0,5.0,7.0,1,24,30,1,1,1,7,1,0,9,4.0,1,4,0
6913,6914.0,2017,6.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,5.0,3.0,4.0,1,15,2,0,2,1,16,2,0,7,2.0,1,4,0
7083,7084.0,2017,9.0,5.0,6.0,7.0,5.0,1.0,3.503584229390681,3.0,2.0,5.0,6.0,4.0,2.0,1,24,30,0,1,0,32,1,0,4,10.0,1,4,0
6920,6921.0,2017,7.0,9.0,9.0,9.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,8.0,8.0,1,30,30,0,2,0,16,9,0,4,6.0,1,4,0
217,218.0,2011,6.0,8.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
54,55.0,2011,5.0,7.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7057,7058.0,2017,6.0,8.0,10.0,10.0,3.0,1.0,3.503584229390681,3.889212827988338,3.0,5.0,9.0,4.0,8.0,0,5,30,0,2,1,32,1,0,6,10.0,1,4,0
1898,1899.0,2011,6.0,4.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
5230,5231.0,2011,10.0,1.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
5670,5671.0,2011,3.0,1.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7191,7192.0,2017,3.0,8.0,6.0,10.0,4.0,1.0,4.0,2.0,3.0,5.0,8.0,1.0,8.0,1,0,30,0,2,0,8,7,0,8,6.0,1,4,1
6812,6813.0,2017,8.0,10.0,10.0,10.0,5.0,4.0,4.0,5.0,4.0,5.0,8.161383285302593,10.0,8.0,1,50,30,0,1,0,16,0,0,8,9.0,1,4,0
1862,1863.0,2011,1.0,6.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7956,7957.0,2019,1.0,4.0,5.0,5.6923076923076925,3.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,1,39,30,0,2,0,5,5,0,4,5.631578947368421,1,4,1
5844,5845.0,2011,4.0,9.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7290,7291.0,2017,9.0,9.0,8.0,10.0,4.0,2.0,3.0,4.0,3.0,4.0,9.0,8.0,9.0,1,15,30,0,2,0,49,8,0,5,9.0,1,4,0
6621,6622.0,2017,10.0,10.0,8.0,10.0,5.0,3.0,3.503584229390681,3.0,4.0,5.0,9.0,8.0,9.0,4,5,30,0,2,1,8,2,0,1,7.0,1,4,0
4638,4639.0,2011,9.0,1.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
2701,2702.0,2011,5.0,4.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
6790,6791.0,2017,9.0,8.0,8.0,6.0,3.0,3.0,3.503584229390681,2.0,4.0,5.0,9.0,7.0,3.0,1,5,30,0,2,0,8,1,0,9,9.0,1,4,0
2772,2773.0,2011,6.0,9.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7386,7387.0,2017,6.0,7.0,8.0,8.0,4.0,2.0,4.0,3.0,3.0,4.0,7.0,7.0,7.0,1,5,30,0,2,0,8,7,0,4,5.0,1,4,0
7195,7196.0,2017,9.0,9.0,9.0,9.0,4.0,3.0,3.0,4.0,2.0,4.0,8.0,8.0,8.0,1,30,12,1,2,0,49,0,1,8,9.0,11,29,0
4548,4549.0,2011,1.0,1.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7262,7263.0,2017,8.0,8.0,6.0,5.0,5.0,2.0,3.503584229390681,4.0,2.0,4.0,8.0,3.0,6.0,1,5,30,0,2,0,0,8,0,4,9.0,1,4,0
6644,6645.0,2017,8.0,10.0,10.0,10.0,5.0,1.0,4.0,1.0,4.0,5.0,10.0,10.0,10.0,1,5,30,0,1,0,7,1,0,6,8.0,1,4,0
8366,8367.0,2019,10.0,1.0,1.0,5.6923076923076925,2.0,1.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,4,35,30,0,1,0,34,7,0,4,5.631578947368421,5,4,1
4170,4171.0,2011,3.0,6.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
1444,1445.0,2011,5.0,7.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7260,7261.0,2017,9.0,7.0,8.0,7.0,3.0,2.0,3.0,3.0,5.0,5.0,9.0,7.0,9.0,1,5,6,0,2,1,8,8,0,9,7.0,1,4,0
7100,7101.0,2017,4.0,7.0,7.0,9.0,4.0,1.0,3.0,3.0,3.0,5.0,8.0,8.0,8.0,4,15,30,0,2,0,32,1,0,3,7.0,1,4,1
2894,2895.0,2011,4.0,9.0,5.114427860696518,5.6923076923076925,3.443850267379679,1.736318407960199,2.9245283018867925,3.2967032967032965,2.6684491978609626,3.482051282051282,6.11139896373057,5.424870466321243,6.17741935483871,1,30,30,0,2,0,16,1,0,4,5.631578947368421,1,4,1
7839,7840.0,2019,2.0,3.0,8.0,5.6923076923076925,5.0,1.0,2.9245283018867925,3.0,4.0,4.0,9.0,6.0,9.0,1,39,30,0,2,1,15,0,0,4,5.631578947368421,1,4,1
